plot.no,protection,season,tree.den,pop.den,soil.moist
1,Partial,Summer,14.28,25.56,58.07
2,Partial,Winter,10.2,27.06,29.55
3,None,Summer,18.63,15.75,74.73
4,Full,Winter,17.2,25.26,27.07
5,None,Summer,24.15,9.65,24.44
6,None,Winter,12.46,21.15,47.17
7,Full,Winter,22.04,20.28,27.94
8,None,Winter,19.45,16.42,56.62
9,Full,Summer,10.37,22.92,78.24
10,Full,Summer,9.94,25.08,63.51
11,Full,Winter,7.42,27.15,40.94
12,None,Summer,27.65,9.05,57.77
13,Full,Summer,8.04,29.44,36.13
14,Partial,Summer,13.8,26.68,64.44
15,None,Winter,14.05,19.23,43.87
16,Full,Summer,26.38,18.32,70.49
17,Full,Summer,25.54,21.63,46.87
18,Full,Summer,12.2,26.56,63.63
19,Partial,Winter,21.76,19.51,32.33
20,Full,Winter,24.69,20.3,37.04
21,Partial,Summer,13.47,21.21,79.7
22,Full,Summer,6.34,27.79,27.02
23,Partial,Winter,18.02,22.97,78.64
24,Full,Winter,12.71,24.7,31.56
25,Partial,Winter,2,27.97,55.45
26,Partial,Winter,18.63,19.91,25.44
27,None,Summer,7.64,25.29,60.67
28,Full,Summer,15.85,24.7,34.4
29,None,Winter,28.29,5.99,24.7
30,Full,Winter,7.16,27.82,33.14
31,None,Winter,7.27,23.27,29.85
32,Full,Winter,3.77,30.21,51.69
33,None,Summer,23.4,15.11,67.89
34,Full,Winter,27.66,21.44,60.29
35,Partial,Summer,22.96,21.52,51.87
36,None,Winter,18.55,19.25,73.47
37,None,Summer,2.03,30.62,50.2
38,None,Winter,25.91,11.07,34.28
39,Partial,Winter,14.59,23.45,37.11
40,Partial,Summer,23.29,21.4,40.14
41,Partial,Winter,20.89,21.51,49.74
42,None,Summer,10.23,22.89,66.32
43,Full,Summer,17.59,23.21,50.91
44,Partial,Summer,17.33,24.05,33.71
45,Partial,Summer,27.18,18.34,37.41
46,Partial,Summer,19.93,23.75,56.56
47,None,Summer,12.71,19.98,27.02
48,Partial,Summer,18.07,22.89,76.36
49,Partial,Winter,5.82,26.14,39.59
50,None,Summer,16.82,17.24,51.02
51,None,Winter,22,15.13,40.26
52,None,Winter,27.34,6.73,62.03
53,Full,Winter,6.36,26.78,40.7
54,Partial,Summer,6.26,27.72,42.6
55,Full,Summer,29.96,21.02,76.15
56,None,Summer,2.1,26.88,71.8
57,None,Winter,26.38,9.69,25.87
58,Partial,Winter,16.87,23,41.99